Date,GOL,CVC,WEGE,MGLU,TOTS,BOVA
2015-01-02,14.989999771118164,15.199999809265137,5.923076152801514,0.23281200230121613,11.910701751708984,47.2599983215332
2015-01-05,14.850000381469727,15.0,5.963460922241211,0.237186998128891,11.544731140136719,46.31999969482422
2015-01-06,15.210000038146973,14.800000190734863,5.875,0.23406200110912323,10.822770118713379,46.58000183105469
2015-01-07,14.550000190734863,14.670000076293945,5.807692050933838,0.24187499284744263,10.746248245239258,48.150001525878906
2015-01-08,14.270000457763672,14.149999618530273,5.905768871307373,0.23999999463558197,10.995774269104004,48.5099983215332
2015-01-09,14.050000190734863,14.0,5.878846168518066,0.2318750023841858,10.88265609741211,47.529998779296875
2015-01-12,14.25,13.449999809265137,5.8461527824401855,0.234375,11.544731140136719,46.83000183105469
2015-01-13,13.6899995803833,13.890000343322754,5.867307186126709,0.2318750023841858,11.145489692687988,46.63999938964844
2015-01-14,13.779999732971191,13.770000457763672,5.961537837982178,0.22812500596046448,11.0623140335083,46.47999954223633
2015-01-15,14.050000190734863,14.0,5.961537837982178,0.22750000655651093,10.84605884552002,47.0
2015-01-16,14.329999923706055,14.170000076293945,5.961537837982178,0.22937500476837158,11.64454174041748,47.599998474121094
2015-01-19,13.579999923706055,14.350000381469727,5.992307186126709,0.22812500596046448,10.739594459533691,46.310001373291016
2015-01-20,13.069999694824219,14.0,6.067306995391846,0.21875,11.045679092407227,46.52000045776367
2015-01-21,12.9399995803833,14.100000381469727,6.001923084259033,0.2203119993209839,11.64454174041748,47.810001373291016
2015-01-22,13.510000228881836,14.289999961853027,6.051922798156738,0.21937499940395355,11.634560585021973,48.119998931884766
2015-01-23,13.25,14.34000015258789,6.12307596206665,0.2203119993209839,11.478191375732422,47.29999923706055
2015-01-26,12.6899995803833,13.949999809265137,6.050000190734863,0.21875,11.24530029296875,47.189998626708984
2015-01-27,12.550000190734863,13.699999809265137,6.151923179626465,0.21250000596046448,11.128854751586914,47.34000015258789
2015-01-28,12.180000305175781,13.199999809265137,6.211537837982178,0.20656199753284454,11.395015716552734,46.33000183105469
2015-01-29,12.84000015258789,13.199999809265137,6.351922988891602,0.21406200528144836,10.962504386901855,46.380001068115234
2015-01-30,12.220000267028809,12.619999885559082,6.169229984283447,0.21250000596046448,11.168779373168945,45.61000061035156
2015-02-02,11.75,12.800000190734863,6.334615230560303,0.21375000476837158,11.311840057373047,46.27000045776367
2015-02-03,11.649999618530273,13.699999809265137,6.2846150398254395,0.20499999821186066,11.837508201599121,47.63999938964844
2015-02-04,11.90999984741211,13.359999656677246,6.3153839111328125,0.20281200110912323,11.727717399597168,47.77000045776367
2015-02-05,11.75,13.699999809265137,6.298076152801514,0.20000000298023224,12.07705307006836,47.880001068115234
2015-02-06,10.949999809265137,14.350000381469727,6.2846150398254395,0.190311998128891,12.143592834472656,47.29999923706055
2015-02-09,10.6899995803833,14.649999618530273,6.294229984283447,0.18843699991703033,12.336560249328613,47.91999816894531
2015-02-10,10.819999694824219,14.5,6.459615230560303,0.19187499582767487,12.2500581741333,47.15999984741211
2015-02-11,10.449999809265137,14.550000190734863,6.413461208343506,0.18125000596046448,11.973916053771973,46.95000076293945
2015-02-12,10.9399995803833,14.550000190734863,6.340384006500244,0.18437500298023224,12.023820877075195,48.130001068115234
2015-02-13,10.800000190734863,14.899999618530273,6.238461017608643,0.190311998128891,12.176862716674805,49.38999938964844
2015-02-18,10.869999885559082,14.649999618530273,6.230769157409668,0.1912499964237213,12.34321403503418,49.90999984741211
2015-02-19,10.800000190734863,14.649999618530273,6.3461527824401855,0.19875000417232513,12.326579093933105,49.79999923706055
2015-02-20,10.899999618530273,14.600000381469727,6.25,0.19843700528144836,12.037129402160645,49.84000015258789
2015-02-23,10.510000228881836,14.300000190734863,6.2211527824401855,0.2006250023841858,12.02049446105957,49.79999923706055
2015-02-24,10.869999885559082,14.350000381469727,6.25,0.20624999701976776,12.16022777557373,50.40999984741211
2015-02-25,10.649999618530273,14.460000038146973,6.0961527824401855,0.20125000178813934,12.193498611450195,50.36000061035156
2015-02-26,10.5,14.34000015258789,6.071153163909912,0.2056249976158142,12.057090759277344,50.310001373291016
2015-02-27,10.050000190734863,14.289999961853027,5.880768775939941,0.1890619993209839,11.544731140136719,50.0099983215332
2015-03-02,9.65999984741211,14.170000076293945,5.976922988891602,0.1899999976158142,11.331802368164062,49.59000015258789
2015-03-03,9.640000343322754,14.100000381469727,6.0961527824401855,0.1837500035762787,11.311840057373047,49.83000183105469
2015-03-04,9.550000190734863,14.289999961853027,6.086537837982178,0.1734369993209839,11.145489692687988,49.06999969482422
2015-03-05,9.359999656677246,14.239999771118164,6.019229888916016,0.17156200110912323,11.375054359436035,48.95000076293945
2015-03-06,9.119999885559082,14.149999618530273,6.050000190734863,0.1665620058774948,11.205375671386719,48.54999923706055
2015-03-09,8.800000190734863,13.680000305175781,5.973075866699219,0.15843699872493744,11.205375671386719,47.75
2015-03-10,8.630000114440918,13.899999618530273,5.90384578704834,0.1653120070695877,11.072295188903809,46.95000076293945
2015-03-11,9.34000015258789,13.850000381469727,5.986537933349609,0.1640619933605194,11.072295188903809,47.52000045776367
2015-03-12,8.699999809265137,14.0,6.086537837982178,0.171875,11.212030410766602,47.45000076293945
2015-03-13,8.34000015258789,13.699999809265137,6.057692050933838,0.16437500715255737,10.992446899414062,47.209999084472656
2015-03-16,8.180000305175781,13.489999771118164,5.90384578704834,0.15937499701976776,11.095584869384766,47.380001068115234
